scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Byttneria,higher_taxon,genus,path_depth,1,11,11,Ayenia grandifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Byttnerioideae|Byttnerieae|Byttneria|Byttneria grandifolia
Byturidae,higher_taxon,family,suffix,1,11,11,Byturus tomentosus,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Coleoptera|Polyphaga|Cucujiformia|Cleroidea|Byturidae|Byturus|Byturus tomentosus
Cabera,higher_taxon,genus,path_depth,3,11,11,Cabera erythemaria,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Ennominae|Cabera|Cabera erythemaria
Cacatuidae,higher_taxon,family,suffix,1,11,11,Cacatua galerita,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Psittaciformes|Cacatuidae|Cacatua|Cacatua galerita
Cactinae,higher_taxon,subfamily,suffix,1,11,11,Lophophora williamsii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Cacteae|Cactinae|Lophophora|Lophophora williamsii
Calamotropha,higher_taxon,genus,path_depth,2,11,12,Calamotropha latella,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Pyraloidea|Crambidae|Crambinae|Calamotrophini|Calamotropha|Calamotropha latella
Calamotrophini,higher_taxon,tribe,suffix,1,11,11,Calamotropha latella,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Pyraloidea|Crambidae|Crambinae|Calamotrophini|Calamotropha|Calamotropha latella
Calendula,higher_taxon,genus,path_depth,1,11,11,Calendula officinalis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Calenduleae|Calendula|Calendula officinalis
Calesia,higher_taxon,genus,path_depth,1,11,11,Calesia dasyptera,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Erebidae|Calpinae|Calesia|Calesia dasyptera
Calicnemia,higher_taxon,genus,path_depth,4,11,11,Calicnemia eximia,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Zygoptera|Coenagrionoidea|Platycnemididae|Calicnemia|Calicnemia eximia
Caliphaea,higher_taxon,genus,path_depth,1,11,11,Caliphaea confusa,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Zygoptera|Calopterygoidea|Calopterygidae|Caliphaea|Caliphaea confusa
Callabraxas,higher_taxon,genus,path_depth,1,11,11,Callabraxas amanda,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Larentiinae|Callabraxas|Callabraxas amanda
Calletaera,higher_taxon,genus,path_depth,1,11,11,Calletaera obliquata,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Ennominae|Calletaera|Calletaera obliquata
