taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
12037,Lanius tephronotus,species,Grey-backed Shrike,Aves,256,1619,http://en.wikipedia.org/wiki/Grey-backed_shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/89163/medium.jpg,cc-by-sa,"(c) Lip Kee Yap, some rights reserved (CC BY-SA)"
12996,Phoenicurus frontalis,species,Blue-fronted Redstart,Aves,256,1325,http://en.wikipedia.org/wiki/Blue-fronted_redstart,https://static.inaturalist.org/photos/13353705/medium.jpg,,"(c) Marc Faucher, all rights reserved, uploaded by Marc Faucher"
72848,Eumyias thalassinus,species,Verditer Flycatcher,Aves,249,4404,http://en.wikipedia.org/wiki/Verditer_flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/175806086/medium.jpg,cc-by,"(c) Cheongweei Gan, some rights reserved (CC BY), uploaded by Cheongweei Gan"
52055,Crocothemis servilia,species,Scarlet Skimmer,Insecta,246,30174,http://en.wikipedia.org/wiki/Scarlet_skimmer,https://inaturalist-open-data.s3.amazonaws.com/photos/162243824/medium.jpg,cc-by-nc,"(c) budak, some rights reserved (CC BY-NC), uploaded by budak"
13858,Passer domesticus,species,House Sparrow,Aves,245,541535,http://en.wikipedia.org/wiki/House_sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/4608133/medium.jpg,cc-by-nc-sa,"(c) Ximo Galarza, some rights reserved (CC BY-NC-SA)"
145068,Phoenicurus fuliginosus,species,Plumbeous Water Redstart,Aves,244,6170,http://en.wikipedia.org/wiki/Plumbeous_water_redstart,https://inaturalist-open-data.s3.amazonaws.com/photos/133101052/medium.jpg,cc-by-nc,"(c) Vijay Anand Ismavel, some rights reserved (CC BY-NC)"
4749,Leptoptilos javanicus,species,Lesser Adjutant,Aves,241,2805,http://en.wikipedia.org/wiki/Lesser_adjutant,https://inaturalist-open-data.s3.amazonaws.com/photos/289454049/medium.jpg,cc-by-nc-sa,"(c) Sergio Rivero Beneitez, some rights reserved (CC BY-NC-SA), uploaded by Sergio Rivero Beneitez"
7068,Tadorna ferruginea,species,Ruddy Shelduck,Aves,237,31220,http://en.wikipedia.org/wiki/Ruddy_shelduck,https://inaturalist-open-data.s3.amazonaws.com/photos/118676181/medium.jpg,cc-by,"(c) egorbirder, some rights reserved (CC BY)"
602697,Gentiana depressa,species,,Plantae,236,257,,https://inaturalist-open-data.s3.amazonaws.com/photos/12088871/medium.jpeg,cc-by-nc,"(c) rawdenh, some rights reserved (CC BY-NC), uploaded by rawdenh"
51588,Papilio polytes,species,Common Mormon Swallowtail,Insecta,235,31795,http://en.wikipedia.org/wiki/Papilio_polytes,https://inaturalist-open-data.s3.amazonaws.com/photos/546296359/medium.jpg,cc-by-nc,"(c) Lizhiiguo, some rights reserved (CC BY-NC), uploaded by Lizhiiguo"
